iter	RMSE
0	30755.23132
1	30746.40723
2	30726.2948
3	30715.98467
4	30696.88029
5	30690.65802
6	30671.36067
7	30662.95824
8	30651.04522
9	30626.70636
10	30616.75988
11	30595.06724
12	30589.54929
13	30581.46583
14	30566.51783
15	30558.36925
16	30546.40508
17	30526.86982
18	30504.70246
19	30497.90984
20	30474.39496
21	30468.29281
22	30454.02949
23	30444.97814
24	30432.3828
25	30409.20474
26	30397.22969
27	30383.39465
28	30366.42419
29	30351.30693
30	30330.26529
31	30314.01465
32	30294.38218
33	30275.79797
34	30261.76686
35	30245.362
36	30223.21347
37	30211.87547
38	30199.48967
39	30191.46518
40	30176.98551
41	30159.26841
42	30149.37732
43	30140.41086
44	30118.82457
45	30106.47072
46	30095.80686
47	30079.1495
48	30074.02888
49	30068.79591
50	30052.34312
51	30031.23849
52	30016.00003
53	30004.26412
54	29987.97018
55	29970.56569
56	29956.45115
57	29943.9359
58	29923.39476
59	29917.97982
60	29904.25067
61	29883.95338
62	29874.126
63	29864.18993
64	29857.88743
65	29848.06431
66	29832.05285
67	29822.24777
68	29807.95191
69	29796.9814
70	29783.34308
71	29773.90668
72	29769.13597
73	29758.8131
74	29746.8252
75	29733.81418
76	29721.22681
77	29711.17813
78	29691.80192
79	29688.45719
80	29682.63799
81	29676.50779
82	29670.12288
83	29650.97216
84	29640.97276
85	29622.0102
86	29618.10878
87	29607.47267
88	29589.0019
89	29582.90971
90	29575.21004
91	29563.99876
92	29545.42819
93	29539.08136
94	29532.98987
95	29525.30705
96	29519.52217
97	29510.2275
98	29503.69683
99	29483.80827
100	29472.76664
101	29457.93123
102	29449.5241
103	29436.47749
104	29428.52132
105	29410.63453
106	29396.8315
107	29389.94852
108	29379.8935
109	29368.45732
110	29359.79542
111	29354.21033
112	29348.05772
113	29335.07416
114	29329.55782
115	29312.53872
116	29297.27323
117	29287.29988
118	29273.826
119	29263.71399
120	29253.79682
121	29244.66483
122	29240.12982
123	29232.72909
124	29229.8768
125	29225.13974
126	29213.89111
127	29206.84803
128	29190.18517
129	29184.20083
130	29180.44782
131	29169.70719
132	29166.81893
133	29159.66511
134	29149.24082
135	29132.57167
136	29119.20343
137	29103.61453
138	29098.14074
139	29093.02956
140	29081.15484
141	29065.09162
142	29056.86033
143	29051.00987
144	29040.02233
145	29027.67281
146	29023.88157
147	29019.98619
148	29011.64263
149	29006.40358
150	29001.57851
151	28994.87249
152	28979.26038
153	28974.25803
154	28967.6386
155	28961.22926
156	28949.89951
157	28935.97229
158	28927.13312
159	28920.81121
160	28905.47609
161	28897.17547
162	28892.69438
163	28879.60438
164	28874.20779
165	28869.98255
166	28865.22569
167	28850.18814
168	28838.16583
169	28831.29377
170	28827.2546
171	28814.09468
172	28807.01108
173	28803.94947
174	28796.71203
175	28786.02286
176	28775.63919
177	28765.01244
178	28758.27905
179	28755.02098
180	28748.50759
181	28742.01168
182	28727.13642
183	28720.17995
184	28717.29566
185	28711.47153
186	28700.72111
187	28696.23009
188	28686.66807
189	28680.06946
190	28668.51001
191	28655.91858
192	28652.34008
