iter	Passed	Remaining
0	246	3691208
1	273	2053258
2	314	1572041
3	352	1321731
4	377	1131748
5	418	1046661
6	437	936342
7	475	891093
8	516	860830
9	547	821053
10	630	859553
11	645	806093
12	685	790429
13	723	774523
14	764	763748
15	842	789127
16	891	785881
17	926	771367
18	952	750722
19	990	741691
20	1002	715343
21	1069	727979
22	1126	733821
23	1186	740532
24	1251	749397
25	1269	730970
26	1295	718247
27	1350	722323
28	1391	718105
29	1421	709481
30	1451	700867
31	1479	692206
32	1523	691037
33	1541	678682
34	1573	672758
35	1604	667132
36	1616	653798
37	1628	641307
38	1673	642050
39	1738	650185
40	1763	643299
41	1809	644305
42	1840	640253
43	1866	634336
44	1878	624428
45	1897	616861
46	1939	616995
47	1957	609744
48	1994	608517
49	2025	605562
50	2042	598821
51	2059	592146
52	2095	590879
53	2112	584829
54	2146	583139
55	2164	577562
56	2187	573478
57	2217	571178
58	2229	564520
59	2267	564701
60	2294	561927
61	2306	555620
62	2346	556302
63	2391	558041
64	2433	559221
65	2479	560937
66	2499	557196
67	2522	553958
68	2542	550189
69	2583	550976
70	2623	551668
71	2662	552114
72	2704	553006
73	2740	552769
74	2764	550052
75	2789	547780
76	2810	544649
77	2862	547699
78	2879	543859
79	2930	546583
80	2968	546678
81	3036	552486
82	3090	555519
83	3120	554182
84	3160	554662
85	3171	550024
86	3228	553437
87	3283	556415
88	3341	559794
89	3398	563005
90	3476	569520
91	3523	570886
92	3542	567831
93	3597	570537
94	3646	572045
95	3683	571923
96	3729	572975
97	3762	572145
98	3808	573261
99	3828	570478
100	3880	572502
101	3905	570368
102	3945	570582
103	3972	569022
104	4003	567856
105	4018	564629
106	4055	564444
107	4086	563485
108	4125	563635
109	4151	562000
110	4195	562819
111	4236	563106
112	4277	563507
113	4290	560210
114	4326	560038
115	4344	557497
116	4356	554148
117	4380	552515
118	4407	551131
119	4446	551338
120	4476	550441
121	4506	549530
122	4543	549488
123	4580	549482
124	4618	549604
125	4655	549566
126	4690	549360
127	4728	549343
128	4740	546434
129	4779	546749
130	4819	547066
131	4848	546098
132	4886	546183
133	4924	546352
134	4948	544839
135	4988	545181
136	5024	545152
137	5043	543127
138	5094	544665
139	5132	544780
140	5157	543549
141	5169	540878
142	5205	540828
143	5242	540859
144	5260	538902
145	5297	538941
146	5336	539217
147	5374	539288
148	5411	539393
149	5452	539828
150	5491	539978
151	5517	538941
152	5536	537301
153	5574	537425
154	5614	537685
155	5645	537207
156	5677	536789
157	5715	536890
158	5773	538857
159	5824	540223
160	5837	538008
161	5873	537955
162	5915	538476
163	5947	538002
164	5986	538198
165	6026	538510
166	6076	539683
167	6087	537472
168	6105	535808
169	6137	535373
170	6180	536011
171	6200	534583
172	6242	534989
173	6297	536551
174	6337	536896
175	6356	535368
176	6394	535538
177	6430	535437
178	6468	535581
179	6505	535615
180	6542	535674
181	6574	535314
182	6593	533829
183	6634	534202
184	6673	534457
185	6705	534055
186	6743	534215
187	6784	534508
188	6808	533516
189	6845	533604
190	6870	532711
191	6890	531446
192	6929	531594
193	6967	531790
194	6997	531256
195	7035	531366
196	7079	531994
197	7123	532515
198	7162	532697
199	7198	532712
200	7223	531825
201	7261	531971
202	7299	532074
203	7324	531237
204	7363	531450
205	7400	531499
206	7425	530672
207	7467	531020
208	7512	531649
209	7550	531786
210	7591	532089
211	7630	532259
212	7668	532390
213	7707	532547
214	7746	532731
215	7784	532800
216	7826	533207
217	7881	534440
218	7918	534464
219	7955	534491
220	7992	534471
221	8028	534417
222	8092	536224
223	8129	536227
224	8166	536282
225	8216	537106
226	8254	537197
227	8285	536790
228	8325	536999
229	8404	539733
230	8443	539826
231	8480	539858
232	8533	540860
233	8573	541000
234	8611	541059
235	8652	541268
236	8699	541898
237	8738	541986
238	8776	542072
239	8828	542979
240	8866	543000
241	8903	542960
242	8940	542950
243	8979	543057
244	9017	543078
245	9065	543709
246	9102	543690
247	9139	543672
248	9177	543680
249	9218	543872
250	9259	544100
251	9309	544819
